Time elapsed was 330496682719ns or 330.496682719s,,330.496682719
Time elapsed was 329860953964ns or 329.860953964s,,329.860953964
Time elapsed was 328995019637ns or 328.995019637s,,328.995019637
Time elapsed was 327432496340ns or 327.432496340s,,327.43249634
Time elapsed was 328591310459ns or 328.591310459s,,328.591310459
Time elapsed was 328167978237ns or 328.167978237s,,328.167978237
Time elapsed was 327518502344ns or 327.518502344s,,327.518502344
Time elapsed was 327730080757ns or 327.730080757s,,327.730080757
Time elapsed was 329227983332ns or 329.227983332s,,329.227983332
Time elapsed was 329115751719ns or 329.115751719s,,329.115751719
,,
Total time in seconds,,3287.136759508
,,
Mean time in seconds,,328.7136759508
