,,Time
Time elapsed was 581146572195ns or 581.146572195s,,581.146572195
Time elapsed was 580058025330ns or 580.058025330s,,580.05802533
Time elapsed was 579871448125ns or 579.871448125s,,579.871448125
Time elapsed was 578542704233ns or 578.542704233s,,578.542704233
Time elapsed was 579750103640ns or 579.750103640s,,579.75010364
Time elapsed was 579783530552ns or 579.783530552s,,579.783530552
Time elapsed was 577878020327ns or 577.878020327s,,577.878020327
Time elapsed was 579945820708ns or 579.945820708s,,579.945820708
Time elapsed was 577840123934ns or 577.840123934s,,577.840123934
Time elapsed was 577816515886ns or 577.816515886s,,577.816515886
,,
Total time in seconds,,5792.63286493
,,
Mean time in seconds,,579.263286493
,,
Mean time in minutes,,9.65438810821667
